canton,prefecture,region,nb_eau,nb_elevage,nb_pisciculture,nb_abattoir,IRAT,statut
Edzi,Avé,Maritime,3.0,3.0,0.0,0.0,51.52892561983471,Résilient
Ekpégnon,Amou,Plateaux,4.0,0.0,0.0,0.0,39.90358126721763,Intermédiaire
Elavagnon,Est-Mono,Plateaux,5.0,11.0,0.0,0.0,64.76256030867829,Résilient
Essé-Godjin,Yoto,Maritime,6.0,9.0,0.0,0.0,64.47596509348546,Résilient
Fiata,Lacs,Maritime,3.0,5.0,1.0,0.0,66.13838586502317,Résilient
Gadja,Agou,Plateaux,48.0,42.0,2.0,1.0,93.41661546016554,Résilient
Galangashie,Oti,Savanes,1.0,11.0,0.0,1.0,61.235287748134226,Résilient
Gamé-Sèva,Zio,Maritime,12.0,19.0,2.0,1.0,91.79606776590096,Résilient
Gando,Oti-Sud,Savanes,6.0,4.0,0.0,0.0,57.58891275188767,Résilient
Gapé-Centre,Zio,Maritime,9.0,40.0,2.0,0.0,82.29489262638194,Résilient
Gapé-Kpodji,Zio,Maritime,1.0,0.0,0.0,0.0,30.936639118457297,Intermédiaire
Gbadjahè,Est-Mono,Plateaux,1.0,3.0,0.0,0.0,43.395233597502276,Intermédiaire
Gbalabé,Kloto,Plateaux,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Gblainvié,Zio,Maritime,10.0,6.0,0.0,0.0,62.82313420195265,Résilient
Glitto,Anié,Plateaux,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Gléi,Ogou,Plateaux,2.0,30.0,0.0,0.0,59.764962729779285,Résilient
Guérin-Kouka,Dankpen,Kara,6.0,4.0,0.0,1.0,66.80373419314807,Résilient
Hahomégbé,Haho,Plateaux,10.0,41.0,0.0,0.0,71.22847860604607,Résilient
Hélota,Kéran,Kara,5.0,2.0,0.0,0.0,51.064914137599,Résilient
Imlè-Adiva,Amou,Plateaux,4.0,6.0,0.0,0.0,58.77348575464249,Résilient
Kabou,Bassar,Kara,4.0,8.0,0.0,1.0,70.25786716455585,Résilient
Kadjalla,Doufelgou,Kara,6.0,5.0,0.0,0.0,59.25389761385861,Résilient
Kalanga,Bassar,Kara,5.0,2.0,0.0,0.0,51.064914137599,Résilient
Kamina,Est-Mono,Plateaux,1.0,0.0,0.0,0.0,30.936639118457297,Intermédiaire
Kantè,Kéran,Kara,4.0,1.0,0.0,1.0,56.03087310966639,Résilient
Katchamba,Dankpen,Kara,4.0,3.0,0.0,0.0,53.2319258041382,Résilient
Kati,Agou,Plateaux,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Kazaboua,Sotouboua,Centrale,1.0,6.0,0.0,0.0,47.91015452652045,Intermédiaire
Kidjabou,Dankpen,Kara,1.0,0.0,0.0,0.0,30.936639118457297,Intermédiaire
Kini-Kondji,Yoto,Maritime,4.0,0.0,0.0,0.0,39.90358126721763,Intermédiaire
Koffiti,Blitta,Centrale,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Koka,Doufelgou,Kara,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Kolina,Tchaoudjo,Centrale,4.0,4.0,0.0,0.0,55.54407713498623,Résilient
Korbongou,Tône,Savanes,6.0,18.0,0.0,0.0,67.87870467188243,Résilient
Koulféikou,Dankpen,Kara,4.0,0.0,0.0,0.0,39.90358126721763,Intermédiaire
Kountoire,Oti-Sud,Savanes,1.0,0.0,0.0,0.0,30.936639118457297,Intermédiaire
Koutchitchéou,Dankpen,Kara,2.0,8.0,0.0,0.0,55.21432367002909,Résilient
Kouvé,Yoto,Maritime,1.0,3.0,0.0,0.0,43.395233597502276,Intermédiaire
Kpaha,Doufelgou,Kara,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Kparataou,Tchaoudjo,Centrale,1.0,15.0,0.0,0.0,53.456422784875706,Résilient
Kpatégan,Amou,Plateaux,2.0,16.0,0.0,0.0,58.597558891509074,Résilient
Kpimé,Kloto,Plateaux,2.0,4.0,1.0,0.0,61.5013554839598,Résilient
Kpinzindè,Kozah,Kara,5.0,11.0,1.0,0.0,75.17616532808017,Résilient
Kpomé,Zio,Maritime,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Kpédomé,Haho,Plateaux,12.0,55.0,2.0,0.0,83.45356105227404,Résilient
Kpékplémé,Moyen-Mono,Plateaux,2.0,7.0,0.0,0.0,54.39264787689572,Résilient
Kpélé-Akata,Kpélé,Plateaux,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Kpélé-Dawlotou,Kpélé,Plateaux,2.0,10.0,1.0,0.0,67.24282268008761,Résilient
Kpélé-Gbalédzé,Kpélé,Plateaux,2.0,13.0,1.0,0.0,68.48796915469367,Résilient
Kpélé-Govié,Kpélé,Plateaux,1.0,12.0,0.0,0.0,52.555391371865284,Résilient
Kpélé-Kamé,Kpélé,Plateaux,2.0,6.0,2.0,0.0,66.3519981513367,Résilient
Kévé,Avé,Maritime,13.0,21.0,2.0,0.0,83.93769864367073,Résilient
Lama-Dessi,Binah,Kara,1.0,3.0,0.0,0.0,43.395233597502276,Intermédiaire
Lama-Tessi,Tchaoudjo,Centrale,2.0,16.0,0.0,0.0,58.597558891509074,Résilient
Langabou,Blitta,Centrale,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Lassa,Kozah,Kara,1.0,4.0,0.0,0.0,45.1867754606627,Intermédiaire
Lavié-Apédomé,Kloto,Plateaux,3.0,3.0,0.0,0.0,51.52892561983471,Résilient
Lotogou,Tône,Savanes,1.0,0.0,0.0,0.0,30.936639118457297,Intermédiaire
Louanga,Tône,Savanes,2.0,9.0,0.0,0.0,55.85132165477923,Résilient
Légbassito,Agoè-Nyivé,Maritime,4.0,5.0,0.0,0.0,57.04904421103684,Résilient
Léon,Doufelgou,Kara,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Mandouri,Kpendjal,Savanes,3.0,11.0,0.0,0.0,60.84852725048473,Résilient
Mango,Oti,Savanes,4.0,6.0,0.0,1.0,67.98830719590289,Résilient
Mogou,Oti-Sud,Savanes,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Morétan,Est-Mono,Plateaux,9.0,7.0,0.0,0.0,64.2754529643075,Résilient
Nadjoundi,Cinkassé,Savanes,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Nadoba,Kéran,Kara,3.0,0.0,0.0,0.0,38.1267217630854,Intermédiaire
Nagbéni,Oti,Savanes,2.0,5.0,0.0,0.0,51.40926675467889,Résilient
Naki-Est,Kpendjal-Ouest,Savanes,4.0,3.0,0.0,0.0,53.2319258041382,Résilient
Naki-Ouest,Tône,Savanes,8.0,3.0,0.0,0.0,55.7556803029469,Résilient
Namaré,Tône,Savanes,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Namon,Dankpen,Kara,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Namoundjoga,Kpendjal-Ouest,Savanes,2.0,2.0,0.0,0.0,45.344352617079885,Intermédiaire
Nandouta,Dankpen,Kara,8.0,3.0,0.0,0.0,55.7556803029469,Résilient
Nanergou,Tône,Savanes,10.0,5.0,0.0,0.0,60.817374487076854,Résilient
Nano,Tandjoaré,Savanes,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Naompoch,Dankpen,Kara,6.0,6.0,0.0,0.0,61.10881542699724,Résilient
Natchiboré,Dankpen,Kara,6.0,3.0,0.0,0.0,55.08734693886749,Résilient
Natchitikpi,Dankpen,Kara,2.0,9.0,0.0,0.0,55.85132165477923,Résilient
Natigou,Tône,Savanes,6.0,4.0,0.0,0.0,57.58891275188767,Résilient
Nayéga,Kpendjal-Ouest,Savanes,2.0,4.0,0.0,0.0,50.135556305258675,Résilient
Niamtougou,Doufelgou,Kara,2.0,4.0,0.0,1.0,59.89667228836751,Résilient
Nioukpourma,Tône,Savanes,4.0,3.0,0.0,0.0,53.2319258041382,Résilient
Notsé,Haho,Plateaux,8.0,33.0,1.0,1.0,87.91122730487223,Résilient
Noépé,Avé,Maritime,3.0,10.0,0.0,0.0,60.34303017819596,Résilient
Nyamassila,Est-Mono,Plateaux,1.0,6.0,0.0,0.0,47.91015452652045,Intermédiaire
Ossacré,Kéran,Kara,6.0,2.0,0.0,0.0,51.59082588400365,Résilient
Pagouda,Binah,Kara,3.0,8.0,0.0,0.0,59.05457837457223,Résilient
Pana,Tône,Savanes,4.0,3.0,0.0,0.0,53.2319258041382,Résilient
Papri,Kpendjal-Ouest,Savanes,2.0,2.0,0.0,0.0,45.344352617079885,Intermédiaire
Pessidè,Kéran,Kara,11.0,4.0,0.0,0.0,59.272735390146615,Résilient
Poissongui,Tône,Savanes,2.0,11.0,0.0,0.0,56.97432144171338,Résilient
Pya,Kozah,Kara,4.0,15.0,0.0,0.0,64.44935244826158,Résilient
Saligbé,Moyen-Mono,Plateaux,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Sanda-Afohou,Bassar,Kara,2.0,10.0,0.0,0.0,56.47325260410954,Résilient
Sanda-Kagbanda,Bassar,Kara,10.0,12.0,0.0,1.0,77.20117566986318,Résilient
Sanguera,Agoè-Nyivé,Maritime,4.0,23.0,0.0,0.0,65.5534810925335,Résilient
Sara-Kawa,Kozah,Kara,1.0,7.0,0.0,0.0,49.32250541159027,Intermédiaire
Sendome,Yoto,Maritime,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Siou,Doufelgou,Kara,1.0,2.0,0.0,1.0,51.33608815426997,Résilient
Sissiak,Tandjoaré,Savanes,3.0,30.0,0.0,0.0,63.49913782716955,Résilient
Sokodè (Komah),Tchaoudjo,Centrale,1.0,12.0,0.0,2.0,63.288266887003694,Résilient
Sotouboua,Sotouboua,Centrale,4.0,10.0,0.0,1.0,71.47651084356957,Résilient
Soudou,Assoli,Kara,2.0,12.0,1.0,0.0,68.15741289251334,Résilient
Tabindè,Sotouboua,Centrale,1.0,4.0,0.0,0.0,45.1867754606627,Intermédiaire
Tabligbo,Yoto,Maritime,1.0,9.0,0.0,1.0,60.252148101060214,Résilient
Tami,Tône,Savanes,15.0,1.0,0.0,0.0,49.12446686201069,Intermédiaire
Tampialime,Tandjoaré,Savanes,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Tchalo,Tchaoudjo,Centrale,1.0,13.0,0.0,0.0,52.97186411254322,Résilient
Tchamba,Tchamba,Centrale,1.0,6.0,1.0,0.0,59.32154213744718,Résilient
Tchitchao,Kozah,Kara,1.0,13.0,0.0,0.0,52.97186411254322,Résilient
Tchoré,Doufelgou,Kara,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Tchébébé,Sotouboua,Centrale,1.0,16.0,0.0,0.0,53.72810986335751,Résilient
Tchékpo,Yoto,Maritime,1.0,1.0,0.0,0.0,38.34710743801653,Intermédiaire
Timbou,Cinkassé,Savanes,2.0,1.0,0.0,0.0,41.90552875704931,Intermédiaire
Tittigbe,Sotouboua,Centrale,3.0,5.0,0.0,0.0,55.088974422338325,Résilient
Toaga,Tône,Savanes,18.0,5.0,1.0,0.0,71.39784426919081,Résilient
Tokpli,Yoto,Maritime,4.0,1.0,1.0,0.0,57.635556305258675,Résilient
Tomé,Kloto,Plateaux,1.0,1.0,0.0,0.0,38.34710743801653,Intermédiaire
Tové,Kloto,Plateaux,2.0,14.0,0.0,0.0,58.14481946117704,Résilient
Tovégan,Avé,Maritime,9.0,9.0,0.0,1.0,74.87434109090644,Résilient
Tsévié,Zio,Maritime,16.0,60.0,0.0,1.0,80.76891227981282,Résilient
Vakpossito,Agoè-Nyivé,Maritime,2.0,7.0,0.0,0.0,54.39264787689572,Résilient
Vo-Koutimé,Vo,Maritime,1.0,7.0,1.0,0.0,60.6001777207892,Résilient
Vogan,Vo,Maritime,1.0,27.0,2.0,1.0,75.58047572739686,Résilient
Wahala,Haho,Plateaux,10.0,168.0,0.0,0.0,69.76981422085629,Résilient
Warengo,Kéran,Kara,7.0,2.0,0.0,0.0,51.93397019094531,Résilient
Warkambou,Tône,Savanes,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Yaloumbè,Blitta,Centrale,4.0,7.0,0.0,0.0,60.29992686735582,Résilient
Yokélé,Kloto,Plateaux,1.0,11.0,0.0,0.0,51.9795525710774,Résilient
Zolo,Avé,Maritime,8.0,12.0,1.0,0.0,77.85716847743745,Résilient
Afagnan-Gbléta,Bas-Mono,Maritime,0.0,18.0,0.0,0.0,44.35950413223141,Intermédiaire
Afagnangan,Bas-Mono,Maritime,0.0,8.0,0.0,0.0,39.33195592286501,Intermédiaire
Aflao-Sagbado,Golfe,Maritime,0.0,117.0,0.0,0.0,46.735537190082646,Intermédiaire
Agbandi,Blitta,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Agbandè-Yaka,Doufelgou,Kara,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Agbodrafo,Lacs,Maritime,0.0,39.0,8.0,1.0,69.48316901978093,Résilient
Agome-Kpalime,Kloto,Plateaux,0.0,2.0,0.0,1.0,40.12178220057548,Intermédiaire
Agomé-Tomégbé,Kloto,Plateaux,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Agomé-Yoh,Kloto,Plateaux,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Agou-Akplolo,Agou,Plateaux,0.0,9.0,1.0,0.0,51.56674105334586,Résilient
Agou-Kébo,Agou,Plateaux,0.0,27.0,0.0,0.0,45.49586776859505,Intermédiaire
Agou-Tavié,Agou,Plateaux,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Agoè-Nyivé,Agoè-Nyivé,Maritime,0.0,14.0,0.0,0.0,43.15426997245179,Intermédiaire
Ahassomè,Moyen-Mono,Plateaux,0.0,4.0,0.0,0.0,33.27134986225896,Intermédiaire
Ahépé,Yoto,Maritime,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Akoumapé,Vo,Maritime,0.0,2.0,1.0,0.0,41.72646539616777,Intermédiaire
Aképé,Avé,Maritime,0.0,58.0,0.0,0.0,46.59779614325069,Intermédiaire
Alibi I,Tchamba,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Amaïde,Tchaoudjo,Centrale,0.0,7.0,0.0,0.0,38.298898071625345,Intermédiaire
Amlamé (Ouma),Amou,Plateaux,0.0,16.0,0.0,0.0,43.80853994490358,Intermédiaire
Amou-Oblo,Amou,Plateaux,0.0,10.0,2.0,0.0,54.77903772807649,Résilient
Amoussimé,Yoto,Maritime,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Anfoin,Lacs,Maritime,0.0,10.0,6.0,0.0,57.59586147467992,Résilient
Anyron-Kopé,Vo,Maritime,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Aného,Lacs,Maritime,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Atchinédji,Anié,Plateaux,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Attitogon,Bas-Mono,Maritime,0.0,13.0,4.0,0.0,58.37089463899533,Résilient
Badou,Wawa,Plateaux,0.0,2.0,0.0,1.0,40.12178220057548,Intermédiaire
Bafilo,Assoli,Kara,0.0,7.0,0.0,1.0,48.47539797357374,Intermédiaire
Bago,Tchamba,Centrale,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Bagou,Tandjoaré,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Bangeli,Bassar,Kara,0.0,18.0,0.0,1.0,53.30554306277827,Résilient
Biankouri,Cinkassé,Savanes,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Bidjenga,Tône,Savanes,0.0,4.0,0.0,0.0,33.27134986225896,Intermédiaire
Bitchabe,Bassar,Kara,0.0,4.0,0.0,0.0,33.27134986225896,Intermédiaire
Bohou,Kozah,Kara,0.0,1.0,1.0,0.0,39.10468319559229,Intermédiaire
Borgou,Kpendjal,Savanes,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Boufalé,Binah,Kara,0.0,7.0,0.0,0.0,38.298898071625345,Intermédiaire
Bouladè,Assoli,Kara,0.0,24.0,0.0,0.0,45.358126721763085,Intermédiaire
Boulogou,Tandjoaré,Savanes,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Bè-Centre,Golfe,Maritime,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Canton D’Aneho,Lacs,Maritime,0.0,4.0,0.0,1.0,44.33966802264618,Intermédiaire
Dagbati,Vo,Maritime,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Dako (Daoude),Assoli,Kara,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Danyi-Elavagnon,Danyi,Plateaux,0.0,2.0,1.0,0.0,41.72646539616777,Intermédiaire
Danyi-Kakpa,Danyi,Plateaux,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Danyi-Kpeto-Evita,Danyi,Plateaux,0.0,7.0,0.0,0.0,38.298898071625345,Intermédiaire
Datcha,Ogou,Plateaux,0.0,17.0,0.0,0.0,44.0840220385675,Intermédiaire
Davié,Zio,Maritime,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Diguengué,Blitta,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Djama,Ogou,Plateaux,0.0,23.0,0.0,0.0,45.25482093663912,Intermédiaire
Djarkpanga,Mô,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Doufouli,Blitta,Centrale,0.0,2.0,1.0,0.0,41.72646539616777,Intermédiaire
Doukpergou,Tandjoaré,Savanes,0.0,8.0,0.0,0.0,39.33195592286501,Intermédiaire
Doumé,Wawa,Plateaux,0.0,8.0,0.0,0.0,39.33195592286501,Intermédiaire
Dzrékpo,Vo,Maritime,0.0,6.0,1.0,0.0,48.667730284096216,Intermédiaire
Evou,Amou,Plateaux,0.0,22.0,0.0,0.0,45.151515151515156,Intermédiaire
Gamé,Amou,Plateaux,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Ganavé,Lacs,Maritime,0.0,4.0,3.0,0.0,49.464708173284215,Intermédiaire
Gbadi-N'kougna,Wawa,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Gbatopé,Zio,Maritime,0.0,9.0,0.0,0.0,40.15840220385675,Intermédiaire
Gbodjomé,Lacs,Maritime,0.0,20.0,4.0,0.0,59.785924780418085,Résilient
Gboto,Yoto,Maritime,0.0,4.0,0.0,0.0,33.27134986225896,Intermédiaire
Glidji,Lacs,Maritime,0.0,17.0,5.0,0.0,59.7407890188211,Résilient
Gnagna,Ogou,Plateaux,0.0,15.0,0.0,0.0,43.464187327823694,Intermédiaire
Gobé,Wawa,Plateaux,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Goubi,Tchamba,Centrale,0.0,5.0,1.0,0.0,47.13440962890293,Intermédiaire
Hahotoé,Vo,Maritime,0.0,8.0,3.0,0.0,54.825928236831196,Résilient
Hanyigba,Kloto,Plateaux,0.0,4.0,0.0,0.0,33.27134986225896,Intermédiaire
Hihéatro,Amou,Plateaux,0.0,9.0,1.0,0.0,51.56674105334586,Résilient
Hompou,Bas-Mono,Maritime,0.0,10.0,1.0,0.0,52.211259039290766,Résilient
Houdou,Ogou,Plateaux,0.0,6.0,1.0,0.0,48.667730284096216,Intermédiaire
Kaboli,Tchamba,Centrale,0.0,14.0,3.0,0.0,57.782961688683976,Résilient
Kadambara,Tchaoudjo,Centrale,0.0,9.0,1.0,0.0,51.56674105334586,Résilient
Kagnigbara,Mô,Centrale,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Kamina-Akébou,Akébou,Plateaux,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Kaniamboua,Sotouboua,Centrale,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Kantindi,Tône,Savanes,0.0,4.0,0.0,0.0,33.27134986225896,Intermédiaire
Katomé,Moyen-Mono,Plateaux,0.0,3.0,0.0,0.0,31.033057851239665,Intermédiaire
Katoré,Ogou,Plateaux,0.0,3.0,1.0,0.0,44.15280935507804,Intermédiaire
Klabé-Efoukpa,Wawa,Plateaux,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Kolo-Kopé,Anié,Plateaux,0.0,16.0,0.0,0.0,43.80853994490358,Intermédiaire
Kougnohou,Akébou,Plateaux,0.0,6.0,0.0,0.0,36.646005509641874,Intermédiaire
Kouma,Kloto,Plateaux,0.0,4.0,3.0,0.0,49.464708173284215,Intermédiaire
Koumondè,Assoli,Kara,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Kouméa,Kozah,Kara,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
Koundjoaré,Kpendjal,Savanes,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Kourientre,Tône,Savanes,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Koussountou,Tchamba,Centrale,0.0,5.0,0.0,0.0,34.82093663911846,Intermédiaire
Kovié,Zio,Maritime,0.0,9.0,2.0,0.0,54.157106778746176,Résilient
Kpadapé,Kloto,Plateaux,0.0,7.0,0.0,0.0,38.298898071625345,Intermédiaire
Kpalavé,Akébou,Plateaux,0.0,2.0,0.0,0.0,28.071625344352615,Intermédiaire
Kpangalam,Tchaoudjo,Centrale,0.0,18.0,0.0,0.0,44.35950413223141,Intermédiaire
Kpassaouade,Tchaoudjo,Centrale,0.0,1.0,0.0,0.0,25.041322314049584,Intermédiaire
